,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
131,22020,201143,Al Horford,1610612760,OKC,Oklahoma City Thunder,OffRebound,Offensive,0.721,23,0.033,1.273,0.667,0.091,0.091,0.091,0.0,0.636,0.667,11,14,6,9,3
132,22020,1626172,Kevon Looney,1610612744,GSW,Golden State Warriors,OffRebound,Offensive,0.416,25,0.155,1.077,0.538,0.0,0.0,0.0,0.0,0.538,0.538,13,14,7,13,6
133,22020,2546,Carmelo Anthony,1610612757,POR,Portland Trail Blazers,OffRebound,Offensive,0.293,32,0.031,1.0,0.455,0.143,0.071,0.143,0.0,0.5,0.455,14,14,5,11,6
134,22020,1628396,Tony Bradley,1610612755,PHI,Philadelphia 76ers,OffRebound,Offensive,0.14,12,0.381,0.875,0.467,0.0,0.063,0.0,0.0,0.438,0.467,16,14,7,15,8
135,22020,201580,JaVale McGee,1610612739,CLE,Cleveland Cavaliers,OffRebound,Offensive,0.058,26,0.087,0.737,0.353,0.158,0.0,0.158,0.053,0.368,0.353,19,14,6,17,11
136,22020,200752,Rudy Gay,1610612759,SAS,San Antonio Spurs,OffRebound,Offensive,0.058,26,0.062,0.737,0.353,0.053,0.053,0.053,0.0,0.368,0.382,19,14,6,17,11
137,22020,1628366,Lonzo Ball,1610612740,NOP,New Orleans Pelicans,OffRebound,Offensive,0.75,31,0.022,1.3,0.667,0.1,0.0,0.1,0.0,0.7,0.667,10,13,6,9,3
138,22020,203490,Otto Porter Jr.,1610612741,CHI,Chicago Bulls,OffRebound,Offensive,0.75,16,0.058,1.3,0.5,0.3,0.0,0.3,0.1,0.6,0.5,10,13,4,8,4
139,22020,1626163,Frank Kaminsky,1610612756,PHX,Phoenix Suns,OffRebound,Offensive,0.564,26,0.059,1.182,0.545,0.091,0.0,0.091,0.091,0.545,0.545,11,13,6,11,5
140,22020,203482,Kelly Olynyk,1610612748,MIA,Miami Heat,OffRebound,Offensive,0.428,34,0.034,1.083,0.5,0.167,0.0,0.167,0.0,0.583,0.5,12,13,5,10,5
141,22020,1629684,Grant Williams,1610612738,BOS,Boston Celtics,OffRebound,Offensive,0.208,27,0.098,0.929,0.455,0.214,0.071,0.214,0.071,0.5,0.455,14,13,5,11,6
142,22020,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,OffRebound,Offensive,0.591,29,0.015,1.2,0.667,0.3,0.1,0.2,0.0,0.7,0.667,10,12,4,6,2
143,22020,203939,Dwight Powell,1610612742,DAL,Dallas Mavericks,OffRebound,Offensive,0.591,22,0.091,1.2,0.5,0.4,0.2,0.4,0.0,0.6,0.5,10,12,2,4,2
144,22020,201959,Taj Gibson,1610612752,NYK,New York Knicks,OffRebound,Offensive,0.436,12,0.25,1.091,0.667,0.364,0.091,0.364,0.0,0.545,0.667,11,12,4,6,2
145,22020,1626196,Josh Richardson,1610612742,DAL,Dallas Mavericks,OffRebound,Offensive,0.436,24,0.036,1.091,0.5,0.182,0.091,0.182,0.0,0.545,0.5,11,12,4,8,4
146,22020,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,OffRebound,Offensive,0.193,35,0.021,0.923,0.455,0.077,0.077,0.077,0.0,0.462,0.455,13,12,5,11,6
147,22020,1629012,Collin Sexton,1610612739,CLE,Cleveland Cavaliers,OffRebound,Offensive,0.193,30,0.019,0.923,0.364,0.231,0.0,0.231,0.077,0.462,0.364,13,12,4,11,7
148,22020,1630171,Isaac Okoro,1610612739,CLE,Cleveland Cavaliers,OffRebound,Offensive,0.193,30,0.045,0.923,0.5,0.077,0.154,0.077,0.0,0.462,0.55,13,12,5,10,5
149,22020,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,OffRebound,Offensive,0.133,31,0.031,0.857,0.4,0.214,0.071,0.143,0.0,0.429,0.4,14,12,4,10,6
150,22020,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,OffRebound,Offensive,0.094,25,0.04,0.8,0.417,0.067,0.133,0.067,0.0,0.4,0.417,15,12,5,12,7
151,22020,1626220,Royce O'Neale,1610612762,UTA,Utah Jazz,OffRebound,Offensive,0.094,35,0.058,0.8,0.6,0.0,0.333,0.0,0.0,0.4,0.6,15,12,6,10,4
