,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Ryan Hollins,0,0,0,0,5,8,6,3,0,0,22
Andrea Bargnani,0,31,7,20,34,41,12,5,7,0,157
Taqwa Pinero,193,281,105,34,0,2,14,31,60,44,764
Igor Zaytsev,0,77,10,4,59,27,21,37,1,0,236
Ali Traore,0,61,66,38,367,335,230,137,12,0,1246
Hamady N'Diaye,0,1,1,0,6,15,5,6,0,0,34
Pablo Prigioni,17,0,1,0,0,0,0,4,1,2,25
?lex Mumbru,0,0,0,0,0,0,0,0,0,0,0
Luksa Andric,0,30,30,10,184,139,132,85,11,2,623
Brion Rush,814,360,254,142,0,1,22,53,244,120,2010
Sarunas Vasiliauskas,1104,252,83,70,2,1,9,32,43,54,1650
Jonathan Holmes,0,8,3,1,1,3,0,0,1,0,17
Luka Zoric,4,93,84,19,509,307,224,153,17,3,1413
Carlos Alocen,327,88,80,31,0,0,9,13,8,14,570
Josh Akognon,85,41,24,21,0,0,5,3,38,7,224
Wesley Sena,0,0,0,0,0,0,1,1,0,0,2
Trevor Cooney,16,20,8,4,0,0,1,3,12,6,70
Simon Pursl,0,0,0,0,0,0,1,0,0,0,1
Terrence Bieshaar,0,0,0,0,0,0,1,0,0,0,1
Domen Lorbek,318,285,90,109,7,1,7,40,86,25,968
John Bryant,2,255,114,11,1372,561,301,378,13,1,3008
Vladimir Jankovic,372,455,235,99,273,10,72,171,101,25,1813
Pol Figueras,5,0,1,0,0,0,0,0,0,0,6
Vincent Poirier,1,58,72,8,221,312,279,297,3,2,1253
Janis Timma,248,548,231,102,243,14,153,198,248,40,2025
Luca Vildoza,607,136,75,27,0,0,7,23,20,22,917
Matt Janning,656,342,154,111,11,2,28,37,186,36,1563
Patricio Garino,36,158,72,4,4,1,25,31,32,14,377
Rinalds Malmanis,0,22,7,0,4,3,13,7,0,0,56
Adrien Moerman,16,412,127,24,352,176,139,201,59,2,1508
Rakim Sanders,70,128,72,45,74,14,32,61,35,11,542
Thomas Heurtel,2916,243,273,334,2,0,19,57,60,70,3974
Jalen Reynolds,0,27,30,10,136,107,71,97,4,0,482
Luke Fischer,0,3,39,0,65,89,79,58,0,0,333
Gal Mekel,1110,146,111,78,51,0,22,44,8,28,1598
Rafa Martinez,234,157,49,9,0,0,8,11,54,8,530
Erick Green,322,198,108,149,0,0,20,28,96,30,951
Landing Sane,2,359,89,5,93,189,73,146,47,5,1008
Tryggvi Hlinason,1,1,12,0,43,68,76,55,0,0,256
Mateusz Ponitka,296,234,180,52,101,1,159,150,23,28,1224
Tai Odiase,0,2,4,0,16,10,9,12,0,0,53
Dragan Milosavljevic,686,402,222,229,52,5,96,164,173,83,2112
Ray McCallum,390,85,86,44,2,1,37,31,13,30,719
Dylan Ennis,742,204,234,131,4,1,19,48,62,34,1479
Paul Stoll,593,124,132,88,2,0,2,31,36,47,1055
Michal Michalak,40,72,30,3,0,0,6,14,10,2,177
Nicolas de Jong,0,85,32,10,158,158,111,68,7,2,631
Janis Blums,535,256,131,78,1,3,5,23,247,89,1368
Atoumane Diagne,0,4,3,0,9,19,13,25,0,0,73
Xabier Beraza,0,7,5,0,2,1,0,10,0,0,25
Miquel Salvo,21,144,49,11,71,5,57,69,17,1,445
Gregory Vargas,201,80,43,36,1,0,6,23,9,15,414
Xabier Oroz,41,20,14,2,2,0,17,9,0,2,107
Gabriel Olaseni,1,28,76,2,96,333,260,268,1,4,1069
Mikel Sanz,0,1,2,0,0,0,0,1,1,0,5
Chasson Randle,185,150,94,73,0,0,15,16,39,13,585
Melwin Pantzar,19,7,7,0,0,1,0,1,0,1,36
Mario Nakic,5,12,11,2,0,0,2,6,1,0,39
Demitrius Conger,157,180,173,122,154,4,53,78,30,17,968
Simon Birgander,0,2,13,1,36,76,60,79,1,0,268
Patrick Richard,624,404,191,104,32,3,47,86,141,50,1682
Saulius Kulvietis,2,122,23,6,20,32,26,34,20,3,288
Xabier Lopez-Arostegui,76,226,83,6,4,1,68,66,24,10,564
Dagoberto Pena,27,42,17,5,0,1,6,10,3,2,113
Charlon Kloof,719,202,187,167,35,0,24,77,24,27,1462
Adams Sola,6,8,4,0,0,0,3,9,0,1,31
Matt Thomas,231,120,72,52,4,0,21,22,214,37,773
Ben Simons,23,112,48,2,9,3,27,22,154,22,422
Nicholas Spires,0,15,19,2,12,59,77,47,3,1,235
Martins Laksa,9,30,25,0,0,0,3,10,35,2,114
Deividas Gailius,111,124,97,45,53,0,34,56,104,8,632
Corey Fisher,434,136,129,60,0,0,23,30,27,23,862
Deon Thompson,1,282,173,29,633,175,230,255,20,1,1799
Devin Thomas,5,31,67,40,150,100,124,107,2,1,627
Vlatko Cancar,118,239,110,74,103,75,77,87,48,5,936
Alejandro Lopez,335,111,59,25,0,0,20,23,26,10,609
Sebastian Saiz,0,28,19,3,41,127,88,79,0,0,385
Mickell Gladness,0,20,50,7,97,119,209,148,4,1,655
Lucio Redivo,288,144,115,45,1,0,17,16,135,44,805
Eduardo Martinez,8,43,16,0,0,0,10,5,35,3,120
Shane Hammink,15,40,36,12,3,0,6,20,8,4,144
Nikola Rebic,916,139,127,85,0,0,9,33,17,36,1362
Asier De La Iglesia,0,0,0,0,0,0,1,0,0,0,1
Michael Fakuade,2,109,31,10,77,41,61,74,9,5,419
John Jenkins,104,45,40,8,3,0,21,6,65,6,298
Sylven Landesberg,368,199,181,198,39,1,51,48,111,34,1230
Askia Booker,776,112,191,159,7,0,20,27,54,50,1396
Blake Schilb,1053,311,173,134,339,15,105,87,118,21,2356
Ryan Kelly,13,145,71,44,62,40,40,34,37,4,490
Luke Nelson,168,108,51,13,0,0,12,11,29,16,408
O.D. Anosike,0,11,34,18,81,83,65,71,2,0,365
Mikel Uriz,172,39,22,9,0,0,0,13,3,2,260
Rade Zagorac,373,291,234,205,92,30,67,142,65,34,1533
Ivan Cruz,3,58,10,1,25,12,24,27,6,4,170
Gary Neal,389,94,85,72,21,1,9,10,89,48,818
Livio Jean-Charles,1,131,88,17,244,110,181,199,7,1,979
Nikola Dragovic,6,361,73,30,165,95,82,82,36,3,933
Jon Urtxulutegi,0,0,1,0,0,1,2,0,0,0,4
Ben Bentil,3,170,82,47,208,95,95,100,49,5,854
Przemek Karnowski,0,0,1,0,21,6,5,4,0,0,37
Emir Sulejmanovic,1,89,42,5,96,87,81,117,7,0,525
Phil Pressey,222,97,77,41,0,0,2,8,3,16,466
Nicolas Brussino,155,169,72,7,13,1,29,42,44,12,544
Lovro Mazalin,134,114,96,10,16,1,18,30,20,6,445
Arturs Zagars,54,18,9,8,0,0,1,4,1,3,98
Rodions Kurucs,3,3,8,1,0,0,3,1,1,0,20
A Zagars,4,0,0,0,0,0,0,0,0,0,4
Jarvis Varnado,0,13,21,3,131,111,89,74,1,1,444
Felipe dos Anjos,0,0,0,1,1,3,1,2,0,0,8
Emil Savic,0,0,1,0,0,0,0,0,0,0,1
Ricardo Fischer,136,15,3,7,1,0,5,4,4,6,181
Vasilije Vucetic,0,11,4,0,28,36,31,27,2,0,139
Donnie McGrath,204,61,24,34,1,0,1,1,4,5,335
Maalik Wayns,216,61,55,37,1,0,5,6,18,17,416
Marko Lukovic,75,443,156,127,300,90,123,166,43,12,1535
Luis Ferrando,0,2,0,1,0,0,0,0,0,0,3
Alejandro Vera,0,0,0,0,0,1,0,0,0,0,1
Omari Gudul,0,0,1,0,5,5,1,6,0,0,18
Mo Soluade,13,11,4,0,0,0,0,1,1,0,30
Kevin Jones,1,155,46,13,197,144,123,163,5,1,848
Chris Copeland,6,85,25,18,78,14,12,17,14,3,272
Asier Azpeitia,0,0,1,0,0,0,0,0,0,0,1
Josep Busquets,0,0,1,0,0,0,0,0,0,0,1
Kevin Seraphin,1,10,15,4,160,73,40,62,0,0,365
Przemyslaw Karnowski,0,1,1,0,68,25,9,10,0,0,114
Shaquielle McKissic,133,84,104,69,21,0,22,23,41,9,506
Joel Parra,0,9,5,0,3,0,5,4,0,0,26
Adin Vrabac,178,180,125,59,32,0,44,58,16,17,709
Miguel Gonzalez,1,14,4,0,0,0,0,3,0,0,22
Ludde Hakanson,65,8,3,6,0,0,0,4,0,2,88
Aleksander Balcerowski,0,8,1,0,0,2,1,4,0,0,16
Pere Tom?s,0,0,0,0,0,0,0,0,0,0,0
Nobel Boungou-Colo,192,239,152,57,74,4,56,106,72,20,972
Tim Kempton,0,1,1,0,1,8,7,4,0,0,22
Jordan McRae,191,91,124,107,13,0,15,18,31,8,598
Dominik Mavra,1003,142,103,165,5,0,10,49,10,24,1511
Ognjen Kuzmic,0,2,16,1,159,86,98,92,1,0,455
Carlos Delfino,31,35,10,3,3,1,6,5,10,5,109
Matthew Janning,307,144,57,76,5,0,12,27,76,20,724
Gabriel Deck,5,89,63,11,108,8,45,41,9,2,381
Chris Singleton,21,370,159,96,141,112,42,147,38,6,1132
Renaldas Seibutis,525,179,123,99,5,2,55,50,96,46,1180
Stan Okoye,165,188,102,44,28,1,31,51,85,27,722
Javier Justiz,0,23,24,2,113,95,84,90,1,0,432
Johnny Berhanemeskel,492,237,125,138,0,2,24,42,113,63,1236
Louis Labeyrie,0,212,91,20,154,164,262,295,9,1,1208
Mathias Lessort,3,44,97,23,353,228,176,313,5,2,1244
Kyle Wiltjer,6,245,104,12,160,71,29,51,62,14,754
Brian Roberts,457,138,66,56,1,0,11,22,23,39,813
Conor Morgan,0,172,37,2,10,43,51,37,26,7,385
Thad McFadden,300,91,37,50,0,1,7,13,49,15,563
Gabriel Lundberg,480,105,96,35,2,0,14,40,22,11,805
Cady Lalanne,1,14,23,5,115,130,63,74,3,0,428
Alvaro Munoz,206,293,72,39,15,1,30,62,126,25,869
Tomislav Zubcic,10,601,194,47,288,131,115,186,97,10,1679
Dani Garcia,12,4,1,2,0,0,0,4,0,0,23
David Orrit,6,4,2,0,0,0,0,0,0,0,12
Paco del Aguila,0,3,2,0,0,2,2,2,0,0,11
Yankuba Sima,0,0,4,0,6,18,19,23,0,1,71
Ruban Guerrero,0,0,0,0,3,2,3,2,0,0,10
Shavon Shields,144,285,170,41,64,16,60,93,74,15,962
Darrun Hilliard,194,148,73,26,17,0,18,24,52,19,571
Jalen Jones,2,29,22,3,15,0,11,14,4,0,100
Paul Zipser,114,259,103,53,33,19,64,88,33,10,776
Johan Lofberg,58,64,47,2,0,1,10,25,33,12,252
Branden Frazier,864,139,162,163,6,1,46,54,66,50,1551
Augusto Lima,0,9,32,1,81,106,98,125,2,0,454
Sergi Quintela,6,4,0,1,0,0,0,0,2,0,13
Volodymir Gerun,2,12,28,5,77,81,57,102,2,0,366
Bruno Fitipaldo,500,139,59,33,0,0,20,13,23,16,803
Cristian Diaz,127,24,31,14,0,0,5,3,6,7,217
Robert Valge,0,0,1,0,0,0,0,0,1,0,2
Garrett Nevels,314,94,55,24,1,1,8,33,42,11,583
Nick Zeisloft,11,48,22,0,0,0,1,6,23,6,117
Vyacheslav Bobrov,1,42,37,1,59,111,68,63,2,0,384
Matic Rebec,1100,144,162,224,4,0,6,48,12,67,1767
Gian Clavell,180,170,102,48,5,1,14,22,141,42,725
Andriy Grytsak,0,1,0,0,0,0,2,2,0,0,5
Ignacio Arroyo,4,10,0,2,0,0,0,1,0,0,17
Alex Tamayo,0,1,1,0,0,0,0,0,0,0,2
Jacob Wiley,4,95,111,12,55,133,127,92,8,3,640
Luka Mitrovic,6,262,96,43,269,121,138,186,10,1,1132
D.J. Strawberry,1194,537,341,191,76,3,60,97,114,52,2665
Milton Doyle,213,92,45,44,8,0,9,14,64,16,505
Kyle Hunt,0,2,10,1,26,38,33,39,0,0,149
Manu Lecomte,175,46,28,17,0,0,3,8,7,5,289
Vladimir Brodziansky,0,66,30,9,206,75,94,58,25,0,563
Kyle Singler,26,56,58,25,58,0,33,38,47,17,358
Andreas Obst,421,278,100,53,3,5,17,20,195,35,1127
Maxime de Zeeuw,2,220,48,5,182,87,54,74,23,2,697
Michele Vitali,296,132,65,23,3,1,14,16,63,14,627
Reggie Upshaw,13,346,146,54,129,72,55,117,31,10,973
Lucca Staiger,258,480,117,41,1,2,3,44,198,23,1167
Osas Ehigiator,0,0,2,0,11,17,23,17,0,0,70
Pierre-Antoine Gillet,10,265,38,2,8,25,33,84,39,2,506
Siim-Sander Vene,34,221,38,9,87,59,56,59,25,1,589
Alessandro Gentile,196,86,120,53,192,4,59,35,32,21,798
Earl Rowland,1069,212,268,254,58,1,46,59,10,24,2001
Maurice Kemp,3,60,37,16,13,3,35,45,7,3,222
Tadija Dragicevic,11,328,130,61,176,123,49,50,54,7,989
Junior Etou,7,119,28,31,81,34,38,71,8,19,436
Erik Murphy,2,292,72,2,85,188,91,94,21,4,851
Morgan Stilma,0,2,1,0,1,1,1,3,0,0,9
Daniel Ochefu,0,0,1,1,11,3,3,2,0,0,21
Dominique Sutton,27,137,121,73,139,13,75,116,19,7,727
Edu Duran,1,6,6,0,0,0,0,0,1,0,14
Klemen Prepelic,1085,504,230,151,2,3,68,46,387,183,2659
Jaime Pradilla,0,1,0,0,2,2,4,4,0,0,13
Jokubas Gintvainis,69,12,10,4,0,0,0,5,0,1,101
Aleix Font,27,13,6,3,0,0,0,4,13,3,69
Janari Joesaar,82,138,46,24,5,1,49,91,12,12,460
Sani Campara,0,0,1,0,0,0,0,0,0,0,1
Lucas Munoz,0,0,0,0,0,0,0,0,0,0,0
Elijah Millsap,27,26,12,11,3,0,2,4,11,5,101
Ryan Boatright,577,69,86,118,1,0,6,16,17,28,918
Cory Jefferson,0,6,2,0,0,0,0,0,0,0,8
Dakota Mathias,24,30,10,2,1,0,7,2,21,9,106
Thaddus McFadden,499,105,89,86,0,0,6,28,25,27,865
Ognjen Jaramaz,882,245,228,185,2,1,32,86,54,27,1742
Arturs Kurucs,1,0,1,0,0,0,0,0,0,0,2
Vit Krejci,14,9,9,1,0,0,2,4,6,3,48
Shawn Dawson,57,48,40,15,5,2,19,17,17,6,226
Jorge Gutierrez,339,76,74,30,15,1,39,27,18,30,649
Josh Magette,49,5,5,10,0,0,0,1,1,2,73
Ander Urdiain,0,2,0,0,0,0,0,0,0,0,2
Nikola Jankovic,8,68,131,19,342,353,199,273,5,0,1398
Chris Evans,54,309,282,145,127,24,111,146,71,20,1289
Zoltan Perl,3,7,4,1,0,0,1,6,2,0,24
Duda Sanadze,8,7,4,2,0,0,1,1,4,5,32
Usman Garuba,0,15,11,2,11,15,28,36,0,0,118
Talib Zanna,2,49,51,26,104,111,98,92,2,1,536
Maxime De Zeeuw,1,99,32,2,59,30,17,32,5,0,277
Sebas Saiz,0,4,1,0,7,15,9,12,1,0,49
DJ Strawberry,185,69,38,10,4,0,5,8,18,12,349
Beqa Burjanadze,2,65,17,5,20,7,21,25,3,0,165
Jorge Gutiarrez,25,10,10,1,3,0,6,4,3,3,65
Kendall Stephens,9,55,28,0,0,0,2,3,22,20,139
Jaime Fernaindez,58,10,7,9,0,0,0,3,1,2,90
Marc Marta,0,3,3,0,2,1,2,6,0,0,17
Pablo Sanchez,2,0,0,0,0,0,0,0,0,0,2
Tarence Kinsey,418,291,136,160,38,0,30,62,78,31,1244
Ajdin Penava,0,2,0,0,1,0,0,0,0,0,3
Paco Del Aguila,0,0,0,0,0,1,0,0,0,0,1
Francisco Salvador,0,1,0,0,1,1,0,1,0,0,4
Volodymir Herun,0,2,2,0,1,5,4,7,0,0,21
Samuel Rodriguez,0,0,0,0,0,0,0,1,0,0,1
Mads Bonde,0,0,0,0,0,0,0,0,0,1,1
Jacob Round,0,1,0,0,0,0,0,0,0,0,1
Axel Bouteille,317,404,225,83,49,4,136,173,128,37,1556
Jonathan Rousselle,1184,211,132,83,0,0,28,44,46,51,1779
Ben Lammers,0,9,8,0,4,47,36,43,1,0,148
Maurice Ndour,1,77,44,15,85,89,100,86,7,2,506
Quino Colom,695,86,52,66,1,0,12,13,17,14,956
Brock Motum,13,274,167,39,107,65,142,132,60,10,1009
Arnoldas Kulboka,20,105,33,6,8,3,10,16,68,7,276
Vanja Marinkovic,273,364,174,70,8,2,26,42,144,68,1171
Brandon Davies,2,70,43,17,103,95,84,88,11,1,514
Dani Diez,1,42,21,0,2,0,18,22,6,0,112
Aaron White,9,240,119,24,33,58,136,115,32,2,768
Malcolm Delaney,1186,242,232,278,28,0,30,52,60,82,2190
Santi Yusta,51,67,18,8,0,1,5,11,18,2,181
Alex Abrines,11,48,17,3,0,0,9,12,10,2,112
Alex Lopez,73,28,4,4,0,0,7,2,0,2,120
Lahaou Konate,368,458,209,65,8,1,93,121,39,30,1392
Aleksa Avramovic,456,142,145,48,3,0,16,23,29,39,901
Frantz Massenat,1712,587,290,317,9,1,61,75,85,43,3180
Phill Pressey,201,51,33,27,1,0,2,7,5,7,334
Kenny Kadji,4,312,150,51,418,267,109,150,30,5,1496
Bandja Sy,29,302,138,28,38,7,105,139,37,7,830
Philip Scrubb,971,279,170,130,10,2,17,45,131,29,1784
Jeremy Senglin,514,158,91,174,0,1,3,36,15,21,1013
Juan Palacios,6,339,143,83,307,442,183,221,13,3,1740
Toney Douglas,539,98,78,69,6,1,18,35,9,27,880
Nemanja Dangubic,364,486,220,112,7,5,86,120,36,19,1455
Tyson Perez,0,28,13,3,1,2,8,31,4,0,90
Martin Krampelj,0,7,3,0,0,6,2,2,2,0,22
Kenan Sipahi,911,259,148,75,105,1,41,91,15,23,1669
Demetrius Conger,112,117,106,39,58,0,42,48,14,20,556
Earl Clark,15,465,137,178,279,156,63,117,81,8,1499
Aj Slaughter,182,46,22,31,0,0,14,4,18,15,332
Ebuka Izundu,0,3,9,0,7,20,14,19,0,0,72
Obinna Enechioniya,1,71,17,2,6,6,4,20,8,1,136
Dragan Apic,3,32,63,9,221,176,114,108,2,0,728
Pablo Almazan,17,36,11,0,19,0,1,6,4,0,94
Jasiel Rivero,0,9,4,0,14,7,11,11,1,0,57
Kerem Kanter,1,39,14,4,29,29,33,29,0,0,178
Nico Laprovittola,180,24,12,6,0,0,1,4,9,3,239
Tony Wroten,178,30,48,42,1,0,2,3,3,8,315
Jordan Mickey,0,81,29,12,113,160,66,75,3,2,541
Anthony Brown,51,79,24,11,5,1,7,6,6,3,193
Demonte Harper,930,283,236,180,35,0,60,88,71,50,1933
Matt Costello,3,32,29,1,14,102,36,57,3,0,277
Karvel Anderson,737,350,190,115,4,3,29,49,191,90,1758
Francis Alonso,10,1,4,0,0,0,0,0,0,1,16
Giannis Bourousis,0,29,5,3,89,31,12,16,0,0,185
Josh Adams,519,138,102,65,2,0,12,26,26,26,916
Volodymyr Gerun,0,7,5,0,19,29,35,40,0,0,135
Semaj Christon,205,30,22,19,5,0,4,7,4,11,307
Axel Toupane,78,112,44,9,0,0,16,9,24,10,302
Nik Stauskas,88,27,16,0,0,0,5,4,20,12,172
Ruben Guerrero,0,0,5,0,0,14,17,11,0,0,47
Youssoupha Fall,0,3,45,2,317,206,165,246,0,0,984
Micheal Eric,0,3,10,0,20,29,21,32,0,0,115
Achille Polonara,8,172,46,4,47,34,48,101,17,1,478
Dejan Kravic,2,38,95,27,254,257,182,236,1,2,1094
