,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Dewayne Russell,584,90,88,150,0,0,8,24,10,13,967
Sherman Gay,0,3,15,2,30,54,39,33,1,0,177
Sebastian Herrera,130,112,42,14,1,0,40,20,39,5,403
Tra Holder,74,25,20,15,0,0,3,10,7,1,155
Tim Uhlemann,0,3,2,0,0,3,0,0,0,0,8
Melvin Jostmann,1,1,3,0,0,0,1,0,0,0,6
Derek Willis,5,167,66,6,54,71,45,60,16,4,494
Reggie Williams,161,95,70,34,25,3,28,15,29,14,474
Pendarvis Williams,169,87,44,25,33,0,13,17,23,20,431
Donatas Sabeckis,47,11,14,9,6,0,4,10,1,0,102
Christian von Fintel,3,32,2,0,0,0,0,5,2,0,44
Darious Moten,18,38,12,4,3,4,14,20,3,1,117
Lee Moore,202,74,67,52,1,0,35,50,19,6,506
Luc van Slooten,2,16,3,0,0,0,4,4,2,1,32
Marius Stoll,4,2,0,0,0,0,0,0,0,0,6
Jan Niklas Winberg,9,60,16,7,22,3,18,27,8,0,170
Nelson Weidemann,44,20,7,5,0,0,1,1,5,6,89
Siyani Chambers,144,25,45,7,0,0,1,6,2,4,234
James Webb,3,94,30,2,3,10,16,24,2,0,184
Joe Lawson,3,60,28,4,21,68,17,27,0,1,229
Adika Peter-Mcneilly,74,67,23,9,0,0,7,5,14,8,207
Elijah Clarance,16,7,9,10,0,0,2,5,0,0,49
Durrell Summers,34,31,21,15,5,1,6,3,4,13,133
Jacob Albrecht,0,1,0,0,0,0,0,0,0,0,1
Kelan Martin,9,122,64,35,16,51,22,18,22,2,361
Ariel Hukporti,0,0,2,0,11,4,4,8,0,0,29
Jacob Hollatz,2,0,0,0,0,0,1,1,0,0,4
Hans Brase,1,46,16,1,14,34,32,23,4,0,171
Johannes Krug,0,1,0,0,0,0,0,0,0,0,1
Rashad James,25,7,4,6,2,0,1,1,6,7,59
Trae Bell-Haynes,129,19,22,7,0,0,3,14,0,2,196
Alexander Hopp,0,0,1,0,0,0,0,0,0,0,1
Max Montana,4,22,8,2,0,0,12,4,12,0,64
Quirin Emanga,0,13,2,0,0,0,2,1,0,0,18
Soren Urbansky,0,0,0,0,1,1,0,0,0,0,2
Ikenna Iroegbu,76,15,27,15,2,0,2,3,8,5,153
Gilbert Brown,9,17,9,2,2,1,1,4,1,2,48
Till Isemann,0,0,2,0,0,1,1,4,0,0,8
Jordan Brangers,52,28,20,23,3,0,3,1,18,7,155
Ferenc Gille,0,0,0,0,0,0,0,0,0,0,0
Tre Coggins,3,7,2,1,0,0,0,2,2,0,17
Badu Buck,0,2,0,0,0,0,0,0,0,0,2
Venkatesha Jois,0,5,5,9,7,9,6,22,0,0,63
Manuel Bojang,0,0,1,0,0,0,0,0,0,0,1
Kris Jenkins,1,4,2,0,1,5,2,1,1,1,18
Kenneth Viglianisi,3,1,1,1,0,0,0,0,1,1,8
Thomas Wilder,5,0,0,2,0,0,1,0,0,0,8
Matt McQuaid,15,29,18,6,0,0,2,8,26,4,108
Tre McLean,63,97,58,6,9,0,17,24,26,12,312
Len Schoormann,3,1,2,0,0,0,0,1,0,1,8
Paris Lee,254,36,16,25,0,0,2,0,8,9,350
Aaron Kayser,0,0,0,0,0,1,0,0,0,0,1
Josh Huestis,0,15,3,1,1,3,1,1,0,0,25
Nils Hassfurther,35,10,3,0,0,0,1,3,1,1,54
Zan Sisko,7,3,2,1,0,0,0,1,0,0,14
Thomas Bray,16,7,0,0,0,0,2,0,0,0,25
Stephen Brown,196,44,30,13,0,0,3,8,2,2,298
Teyvon Myers,155,53,38,21,1,0,2,10,11,8,299
Luke Petrasek,0,28,6,0,5,5,9,8,5,0,66
James Woodard,88,49,32,16,1,0,9,15,9,9,228
Reid Travis,0,20,9,4,46,28,20,35,1,1,164
Evan Bruinsma,2,42,15,4,11,12,16,15,7,1,125
Bryce Alford,63,49,29,8,1,0,3,4,29,11,197
Joanic Gruttner Bacoul,0,8,3,0,0,0,4,4,0,0,19
Kevin McClain,18,20,17,2,1,0,8,1,3,2,72
Makai Mason,34,11,14,8,0,0,2,2,4,4,79
Jeremy Morgan,36,53,27,6,3,0,8,18,24,1,176
Benjamin Simons,17,43,20,0,1,0,12,4,36,23,156
Stephen Zimmerman,0,1,10,0,30,17,21,23,0,0,102
Trey McKinney-Jones,16,24,23,6,2,0,6,9,5,4,95
Liam Carpenter,0,4,1,1,0,0,0,0,0,0,6
Kaza Kajami Keane,164,49,43,20,0,0,11,6,6,8,307
Dylan Osetkowski,0,5,9,5,30,35,41,34,0,0,159
Ishmail Wainright,4,34,20,5,30,8,25,33,11,0,170
Jaleen Smith,60,78,23,17,2,1,6,13,1,3,204
Jonas Wohlfarth Bottermann,1,2,3,0,41,12,5,38,0,0,102
Nick Weiler Babb,100,62,22,32,0,1,12,21,9,8,267
Thomas Wimbush Ii,9,68,24,20,9,7,6,9,14,1,167
Cameron Jackson,0,8,7,3,16,26,21,15,0,0,96
Konstantin Konga,45,26,8,1,0,0,1,7,2,4,94
Kamari Murphy,0,14,9,1,19,26,18,21,1,0,109
Greg Monroe,0,8,12,7,99,27,24,24,0,1,202
Jairus Lyles,53,23,12,9,0,0,1,3,2,1,104
Joseph Lawson Iii,1,43,23,1,12,11,10,21,3,2,127
Justin Raffington,0,0,3,0,8,13,3,6,0,0,33
Tanner Leissner,1,37,12,2,4,26,11,30,2,0,125
Radii Caisin,0,6,3,0,0,0,0,3,0,0,12
Jordan Barnett,6,47,20,5,5,1,28,6,10,0,128
Grant Jerrett,0,9,8,2,27,51,35,21,1,0,154
