,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Francisco Garcia,76,55,25,44,4,1,8,3,43,25,284
Elias Ayuso,10,26,18,9,0,0,1,0,38,8,110
Jamelle Horne,1,4,2,7,2,1,3,4,0,1,25
Marcus Vieira de Souza,13,10,6,10,1,0,3,4,11,2,60
Olivinha Rodriguez,0,10,1,0,1,0,6,4,0,0,22
Rafael Freire Luz,18,6,2,2,2,0,0,2,0,2,34
Danilo Pinnock,8,5,6,0,2,0,0,2,1,2,26
Yoan Luis,0,7,2,7,21,4,2,5,1,0,49
Lisvan Valdes,10,0,8,5,0,0,1,3,9,0,36
Esteban Martinez,1,1,3,1,0,0,1,0,1,0,8
Marquinhos Vieira de Sousa Toledo,0,1,1,0,0,0,0,1,0,0,3
Nando De Colo,93,44,30,12,4,0,14,8,23,18,246
Zoran Erceg,0,18,4,1,11,14,4,6,1,0,59
Charles Lombahe-Kahudi,5,17,10,1,5,0,7,13,3,0,61
David Jelinek,19,26,14,9,0,0,1,2,12,4,87
Haralds Karlis,2,1,0,0,0,0,0,0,1,1,5
Lubos Barton,1,16,13,2,6,1,5,6,3,0,53
Nicholas Calathes,107,35,30,16,0,0,11,10,0,2,211
Vassilis Spanoulis,223,17,11,21,0,0,1,6,12,15,306
Kostas Kaimakoglou,0,40,8,5,28,15,12,29,4,0,141
Nikolaos Zisis,32,21,3,5,0,0,1,1,1,1,65
Kostas Sloukas,107,31,6,20,0,0,5,6,6,6,187
Viktor Sanikidze,10,31,21,8,11,3,22,21,5,6,138
George Tsintsadze,99,19,12,30,1,1,12,3,13,7,197
Jacob Pullen,41,6,7,6,0,0,0,0,5,1,66
Dor Fischer,0,5,1,1,1,10,12,9,5,0,44
Yaniv Green,0,3,1,0,4,16,9,6,0,0,39
Dagan Yivzori,7,9,2,1,0,0,4,0,5,0,28
Ville Kaunisto,0,3,1,0,0,3,3,7,0,0,17
Joonas Caven,0,2,1,0,0,0,0,2,0,0,5
Roko-Leni Ukic,187,39,20,23,1,0,8,18,2,6,304
Ante Tomic,0,2,8,0,135,38,36,50,2,0,271
Damjan Rudez,5,66,13,0,3,6,4,2,2,1,102
Marcin Gortat,0,11,9,2,65,29,23,18,4,1,162
Guillermo Hernangomez,0,0,3,0,3,2,6,3,0,0,17
Robert Skibniewski,1,0,0,0,0,0,0,0,0,0,1
Aleksander Czyz,0,1,1,1,0,0,2,1,0,0,6
Matt Lojeski,11,13,6,20,12,1,1,5,8,1,78
Sam Van Rossom,88,33,23,29,3,0,10,14,21,2,223
Maxime De Zeeuw,0,19,5,2,17,9,6,10,4,0,72
Wen Boss Mukubu,30,25,2,24,20,0,4,6,2,4,117
Lionel Bosco,11,2,3,7,0,0,0,1,0,0,24
Uros Slokar,0,26,1,0,17,25,12,13,2,0,96
Alen Omic,0,0,3,2,40,18,18,29,0,0,110
Jure Balazic,3,71,3,5,30,16,9,13,18,0,168
Jaka Klobucar,83,22,10,11,0,0,5,3,3,2,139
Nebojsa Joksimovic,48,10,4,12,1,0,0,5,1,4,85
Miha Zupan,0,16,4,0,9,22,7,8,0,0,66
Mitja Nikolic,1,2,1,0,0,1,3,2,0,0,10
Robert Rothbart,0,1,0,0,1,5,1,2,0,0,10
Nicolas De Jong,0,7,2,3,19,2,9,5,0,2,49
Robin Smeulders,0,4,1,1,10,3,9,9,0,0,37
Worthy De Jong,23,3,11,4,1,0,2,5,3,2,54
Kees Akerboom,2,11,2,0,0,0,0,2,8,2,27
Joosep Toome,0,5,1,0,7,4,5,4,0,0,26
Dontaye Draper,68,21,7,17,0,0,1,5,2,1,122
Dirk Nowitzki,0,10,6,5,39,11,3,4,2,0,80
Tibor Pleiss,0,3,3,0,31,31,14,29,0,0,111
Heiko Schaffartzik,91,14,13,15,0,0,0,5,14,4,156
Anton Gavel,5,12,4,0,1,0,0,0,0,2,24
Sergey Monya,7,41,4,5,13,1,7,7,16,6,107
Marko Sutalo,9,20,13,0,0,0,1,6,27,2,78
Dmitry Khvostov,74,17,11,0,0,0,1,8,1,2,114
Edin Bavcic,0,8,2,0,1,1,2,3,0,0,17
Andrey Desyatnikov,0,0,0,0,0,3,3,1,0,0,7
Ruslan Pateev,0,1,0,0,3,5,8,0,0,0,17
Anton Ponkrashov,60,19,6,13,12,0,0,4,0,3,117
Dalibor Persic,3,13,6,2,0,0,2,4,4,1,35
Drasko Albijanic,1,6,2,1,3,3,3,2,1,0,22
Alexander Renfroe,48,6,7,8,0,0,1,5,4,2,81
