,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Behnam Yakhchalidehkordi,3,6,5,4,0,0,0,4,2,0,24
Hamed Afagh Eslamieh,9,37,23,2,0,0,6,12,17,0,106
Alexander Franklin,3,12,3,1,0,0,4,9,0,0,32
Daniel Santiago,0,1,1,3,37,9,15,9,0,0,75
Luksa Andric,0,0,2,0,3,7,3,2,0,0,17
Taejong Moon,10,8,8,1,3,1,2,2,12,2,49
Joo Sung Kim,0,7,5,0,2,1,12,2,0,0,29
Sekeun Oh,0,7,3,1,7,4,7,6,1,1,37
Heejong Yang,0,4,1,0,0,0,1,7,1,0,14
Chan Hee Park,11,8,3,3,0,0,2,1,3,1,32
Ilyoung Heo,0,12,1,1,0,0,1,0,6,1,22
Dmytro Zabirchenko,6,10,2,2,0,0,0,0,0,0,20
Kyrylo Natyazhko,0,6,0,0,9,3,5,4,0,0,27
Ramy Ibrahim,0,13,3,6,1,5,4,2,3,0,37
Moustafa El-Mekawi,0,8,2,2,5,4,5,8,0,0,34
Sherif Genedy,9,13,9,3,0,0,1,4,8,3,50
Moamen Abouelanin,3,7,2,1,0,0,1,0,0,0,14
Ashraf Rabie,0,4,0,1,2,4,0,2,0,0,13
Seif Samir,0,3,0,0,0,3,1,2,1,0,10
Kimmo Muurinen,1,27,4,2,4,4,15,9,2,0,68
Lindsay Tait,9,0,3,7,0,0,2,2,0,1,24
Jimmy Alapag,73,16,17,42,0,0,0,3,1,2,154
Gary David,4,18,9,4,1,0,5,5,6,3,55
Andreas Glyniadakis,0,0,1,0,0,1,2,2,0,0,6
Matias Bortolin,0,0,1,0,0,0,6,2,0,0,9
Hanno Mottola,0,6,4,0,6,17,4,2,0,1,40
Wael Badr,15,3,0,2,0,0,1,0,0,1,22
Maksym Korniyenko,0,9,3,1,5,4,1,4,2,0,29
Hamed Hadadi,0,6,8,0,30,21,40,37,0,0,142
Antero Lehto,3,2,1,0,0,0,0,0,0,0,6
Tierno Niang,1,0,1,0,0,0,0,0,0,0,2
Jorge Brian Diaz,0,0,0,0,0,0,1,2,0,0,3
Lorenzo Real Aguilar,0,1,6,0,5,13,18,24,0,0,67
Jovan Harris,48,7,3,6,0,0,1,1,0,2,68
Jorge Guttierez Cardenas,37,26,17,9,2,0,6,12,2,4,115
Noe Alonzo Chavez,3,28,11,4,1,2,1,6,1,0,57
James Earl Feldeine,78,25,17,16,0,0,9,4,14,13,176
Karl Towns,0,2,2,1,4,4,3,9,0,0,25
Juan Fernandez,17,4,1,1,0,0,0,0,1,0,24
Juan Gutierrez,1,17,7,0,22,18,17,8,0,0,90
Ricardo Greer,5,1,0,1,1,0,2,0,0,1,11
Juan Coronado Gil,46,24,17,3,0,0,5,11,3,4,113
Pablo Espinoza,2,9,3,0,2,0,4,3,1,0,24
Adrian Boccia,7,9,2,4,1,0,2,3,1,0,29
Akeem Scott,50,19,28,12,0,0,0,8,2,2,121
Patrick Ewing,8,12,6,4,6,4,4,4,3,0,51
Donta Smith,30,21,20,34,11,0,9,9,3,1,138
Adrian Uter,0,0,2,5,22,3,9,11,0,0,52
Weyinmi Rose,41,15,17,30,4,0,1,2,12,2,124
Miguel Angel Marriaga,2,2,6,0,13,9,9,7,0,0,48
Jerome Jordan,0,3,3,0,25,8,18,19,1,0,77
Hector Romero,0,10,3,2,4,7,4,5,0,0,35
Dylan Howell Ennis,22,10,11,4,0,0,0,2,3,0,52
Rafael Perez,2,23,8,0,3,0,5,4,4,5,54
Durand Christopher Scott,23,21,28,16,0,1,1,7,4,1,102
Garfield Blair,10,14,15,8,0,1,1,8,3,0,60
Axiers Sucre,1,28,12,4,8,4,9,7,1,0,74
Raffael Guillen Ecker,44,6,10,12,0,0,1,1,0,0,74
Gregory Vargas Diaz,22,13,9,8,0,0,1,4,4,1,62
Enrique Colmenares Uzcategui,0,4,4,2,4,7,6,3,0,0,30
Jesus Gonzalez Martinez,0,5,3,0,0,0,0,1,0,0,9
Andres Rodriguez,12,4,0,2,0,0,0,1,0,0,19
Fernando Benitez Gomez,0,0,0,0,2,0,0,1,0,0,3
Andrew Rautins,26,15,14,3,0,0,4,2,26,7,97
Levon Kendall,0,16,5,4,10,13,6,14,1,1,70
Reque Newsome Linder,0,9,2,2,3,3,15,10,0,0,44
Emilio Taboada,12,12,2,14,4,0,1,0,16,2,63
Nicolas Mazzarino,44,14,6,8,0,0,1,0,22,3,98
Leandro Garcia-Morales,58,12,18,14,0,0,4,4,18,5,133
Kiril Wachsmann-Mallner,0,4,1,0,6,6,11,7,1,0,36
Federico Bavosi,19,8,2,2,0,0,2,2,0,1,36
Christopher Walker,0,2,0,0,0,0,2,0,0,0,4
Vashil Fernandez,0,0,0,0,0,0,2,1,0,0,3
Windi Graterol Clemente,0,1,0,1,1,3,1,4,0,0,11
Samardo Samuels,0,6,8,6,36,9,14,7,3,0,89
Devoe Joseph,8,4,6,0,0,0,2,0,2,0,22
Victor Alves Benite,6,12,7,2,0,0,0,0,18,2,47
Caio Torres,0,1,4,0,6,8,3,3,0,0,25
Jose Manuel Fabio,0,1,2,3,19,6,7,7,0,0,45
Guilermo Capello,1,12,1,16,19,9,5,6,2,0,71
Federico Paredes,16,4,8,2,0,0,5,0,3,2,40
Carlos Barriocanal,12,9,1,2,0,0,1,0,0,0,25
Diego Silvera,2,6,6,2,2,0,1,0,2,0,21
Luis Ayala,3,2,3,3,0,0,0,1,0,1,13
Ramon Gimenez,16,4,10,8,0,0,2,2,5,2,49
Edison Zarza,0,7,3,0,1,2,0,1,1,0,15
Alejandro Barreto,9,5,9,4,2,0,1,4,3,1,38
Adolfo Farina,0,2,0,1,2,1,0,2,0,0,8
Arthur Silva,2,2,1,0,0,0,0,0,0,1,6
Rafael Freire,22,8,2,3,2,0,0,3,0,2,42
Matias Bortolin Vara,0,0,0,0,0,0,5,2,0,0,7
Mario Lopez,0,1,0,0,0,0,0,0,0,0,1
Alexis Ajinca,0,7,6,1,31,20,19,22,0,1,107
Linas Kleiza,4,50,7,12,28,1,11,7,6,3,129
Johan Petro,0,3,1,0,7,11,12,10,0,0,44
Xavier Rey,0,0,2,1,6,7,14,13,0,0,43
Mario Delas,0,1,0,0,0,0,2,1,0,0,4
German Gabriel,0,5,3,0,5,4,1,2,0,0,20
Bostjan Nachbar,17,41,7,18,6,7,4,6,13,0,119
Mirza Begic,0,0,0,0,30,10,11,18,0,0,69
Maksim Korniyenko,1,23,10,4,10,13,16,18,1,0,96
Kyryl Natyazhko,0,13,7,1,50,17,11,15,1,0,115
Jaka Lakovic,63,18,1,6,0,0,0,4,4,7,103
Dmytro Gliebov,0,3,0,1,1,1,1,1,0,0,8
Danilo Andjusic,10,17,8,2,0,0,4,1,7,1,50
Travis Diener,48,6,1,9,0,0,1,3,1,3,72
Vyacheslav Kravtsov,0,3,3,0,48,17,11,15,0,0,97
Dmytro Zabrichenko,22,6,1,3,0,0,1,4,3,4,44
Daniele Magro,0,0,0,0,0,0,1,0,0,0,1
Nemanja Krstic,0,6,1,1,0,1,1,0,0,0,10
Alex Mumbru,4,18,2,6,7,0,3,2,4,2,48
Anti Nikkila,0,0,0,0,3,2,0,2,0,0,7
Samuel Haanpaa,3,20,6,5,1,0,0,5,1,0,41
Guido Rosselli,0,4,0,2,0,0,0,0,0,0,6
Giorgos Printezis,1,9,8,2,15,3,12,4,0,0,54
Michael Bramos,4,22,1,0,0,0,1,4,2,3,37
Vasileios Kavvadas,0,0,1,0,3,5,3,3,0,0,15
Antonis Fotsis,0,9,3,0,1,0,1,5,2,0,21
Tomas Delininkaitis,33,5,2,2,0,0,1,0,2,3,48
Sacha Massot,0,19,5,1,4,22,13,5,1,0,70
Andrejs Selakovs,0,0,0,0,6,3,3,9,0,0,21
Armands Skele,27,3,7,6,0,0,3,2,5,2,55
Christophe Beghin,0,12,1,1,43,8,8,7,0,0,80
Roel Moors,38,19,10,12,2,1,2,0,2,1,87
Rihards Kuksiks,19,22,8,11,1,3,1,4,3,1,73
Guy Muya,19,8,7,10,4,0,3,1,1,1,54
Kostas Papanikolau,2,20,3,1,1,0,9,5,1,0,42
Yannick Driesen,0,5,2,0,2,5,2,3,0,0,19
Loukas Mavrokefalidis,0,5,2,2,6,12,10,14,0,0,51
Bojan Bakic,2,1,0,0,0,0,0,0,1,1,5
Tyrece Rice,72,6,10,19,0,0,0,3,2,5,117
Michal Ignerski,1,17,4,3,5,3,4,9,4,0,50
Thomas Kelati,38,17,2,4,1,0,1,5,4,2,74
Krzysztof Szubarga,26,6,5,1,0,0,0,2,0,2,42
Aleksey Savrasenko,0,1,0,0,0,8,2,4,0,0,15
Aleksey Shved,68,5,19,26,20,0,4,2,1,2,147
Dmitry Sokolov,0,0,1,0,3,6,12,4,0,0,26
Dmitryi Kulagin,10,5,3,1,0,0,1,2,0,1,23
Serhat Cetin,4,8,3,1,0,0,1,1,3,2,23
Per Gunther,20,4,6,6,0,0,1,0,0,5,42
Afik Nissim,42,10,8,6,0,0,0,0,1,1,68
Philip Zwiener,2,8,1,0,7,0,0,5,0,1,24
Guy Pniny,6,12,4,4,2,0,3,2,3,1,37
Ido Kozikaro,0,1,1,0,3,1,6,3,0,0,15
Nihad Djedovic,58,8,20,8,0,0,3,4,8,2,111
Zack Wright,29,4,7,6,0,0,1,14,0,1,62
Mirza Teletovic,7,13,8,25,19,5,2,10,18,1,108
Jonas Jerebko,2,28,11,11,13,3,5,9,5,1,88
Erik Rush,6,4,3,1,0,0,3,6,0,0,23
Jeffery Taylor,18,15,22,24,22,0,9,7,7,8,132
Kenny Grant,22,12,7,3,0,0,0,3,1,1,49
Jonathan Skjoldebrand,0,11,2,1,3,2,4,0,1,0,24
Devon Van Oostrum,52,5,5,5,0,0,3,0,3,1,74
Andrew Sullivan,0,7,1,5,11,3,4,3,1,0,35
Odo Adegboye,26,3,5,9,0,0,1,1,0,0,45
Bo McCalebb,50,8,21,14,0,0,4,7,1,3,108
Pero Antic,0,23,2,5,19,6,2,14,7,0,78
Todor Gecevski,0,15,1,1,8,14,5,7,0,0,51
Ricky Hickman,44,6,8,9,0,0,4,6,3,2,82
Besik Lezhava,3,3,2,0,0,0,1,4,1,1,15
Nika Metreveli,0,0,0,0,0,1,0,2,0,0,3
Otar Pkhakadze,3,0,0,0,0,0,0,0,0,0,3
Brice Massamba,0,3,0,0,3,1,4,2,0,0,13
Dino Pita,2,3,2,1,0,0,2,2,2,1,15
Jakub Kudlácek,1,2,1,0,0,0,0,0,1,0,5
Pryzemyslaw Karnowski,0,1,1,0,5,1,2,2,0,0,12
Michal Chylinski,1,1,0,0,0,0,0,1,1,0,4
Evgeny Voronov,2,6,3,0,0,0,2,1,0,1,15
Hidayet Türkoglu,16,9,7,10,1,0,1,2,3,0,49
Nizan Hanochi,1,1,1,0,0,0,0,0,0,0,3
Ante Masic,0,6,1,0,0,0,0,1,0,0,8
Alasdair Fraser,0,0,0,0,0,0,0,1,0,0,1
Gjorgji Cekovski,0,5,1,0,3,3,0,1,0,0,13
Nedzad Sinanovic,0,0,0,0,0,0,0,0,0,0,0
Muamer Pasalic,3,1,0,0,0,0,0,2,0,0,6
Ondrej Balvin,0,0,0,0,2,0,1,0,0,0,3
Alex Tyus,0,0,0,0,0,2,3,1,0,0,6
Vladimir Dasic,0,6,4,1,1,2,0,0,0,0,14
Sergio Rodríguez Gómez,4,3,1,0,0,0,0,1,0,0,9
Larry Fonacier,8,23,7,5,0,0,3,5,4,4,59
Jayson Castro William,46,9,28,27,0,0,3,6,4,6,129
Hamed Sohrabnejad,0,13,3,0,3,0,7,2,0,0,28
Joo-sung Kim,0,7,2,5,13,2,4,3,1,0,37
Marcus Douthit,0,21,6,8,43,12,15,13,1,0,119
Minsoo Kim,4,11,4,1,0,0,1,3,6,0,30
Seung Jun Lee,0,4,4,0,3,2,5,2,0,0,20
Mohammad Jamshidijafarabadi,11,17,10,7,0,0,1,1,3,1,51
Leonid Bondarovich,0,3,1,0,9,2,4,2,0,0,21
Vitaliy Lapchenko,0,11,4,0,1,1,8,4,0,0,29
Fangyu Zhu,2,12,6,0,0,1,2,4,6,0,33
Yue Sun,9,9,2,1,0,0,0,0,3,0,24
Shipeng Wang,22,13,4,7,1,0,0,2,7,4,60
Zhizhi Wang,0,5,5,2,15,4,3,2,0,0,36
Bo Zhang,2,1,0,0,0,0,1,1,2,0,7
Jimmy Baxter,46,25,17,17,12,0,8,4,17,6,152
Mohammad Hadrab,1,25,6,2,10,9,9,13,7,0,82
Mohammad Shaher Hussein,0,5,4,0,8,12,4,25,0,0,58
Hani Alfaraj,5,8,6,0,0,0,3,5,0,0,27
Abdallah Abuqoura,1,1,0,2,1,3,6,4,0,0,18
Fadel Alnajjar,14,8,7,1,1,0,0,0,0,1,32
Saman Veisi,8,9,8,2,0,0,4,4,0,1,36
Khaldoon Abu Ruqayah,0,16,3,1,0,1,2,3,1,0,27
Yik Lun Chan,3,14,1,1,0,0,1,3,7,4,34
Shing Yee Fong,3,8,2,5,3,1,7,9,2,2,42
Tung Leung Lau,0,3,3,2,3,5,2,3,0,0,21
Man Chun Lam,2,6,3,0,0,0,1,3,1,5,21
Erfan Ali Saeed,0,24,3,2,9,3,7,11,0,0,59
Yaseen Ismail Musa,0,10,9,2,17,2,9,16,1,0,66
Khalid Suliman Abdi,8,12,5,1,2,0,1,6,3,1,39
Jarvis Hayes,5,18,12,10,20,2,3,3,7,2,82
Mansour Atif Elhadary,6,8,10,2,0,0,1,0,1,2,30
Hsueh-Lin Lee,11,4,4,2,0,0,0,1,1,2,25
Mohd Hassan Mohamed,0,8,3,1,3,3,2,1,0,0,21
Ali Turki,1,16,1,0,0,1,0,3,2,0,24
Mohamed Abdulla Abdullah,0,0,1,0,2,0,3,0,0,0,6
JR Sakuragi,0,13,4,4,39,6,4,13,3,0,86
Kosuke Kanamaru,12,11,4,4,0,0,2,2,20,6,61
Ryota Sakurai,16,5,6,5,3,0,3,5,0,0,43
Takahiro Kurihara,10,6,7,0,0,0,1,4,1,1,30
Hiroshi Ichioka,0,2,2,1,3,4,4,9,0,0,25
Baker Ahmad Mohammed,0,2,2,2,0,0,0,2,0,0,8
Mohamed Alderazi,2,7,5,1,0,0,1,0,0,1,17
Bader Malabes,1,6,0,5,0,0,0,0,0,0,12
Ahmed Ismaeel,5,1,1,1,0,0,0,0,0,0,8
Mohamed Kawaid,2,3,1,2,0,0,0,0,0,0,8
Yunes Kawaid,2,4,2,0,0,0,0,1,0,0,9
Ahmed Akber,0,0,0,0,0,1,1,2,0,0,4
Subah Azzam,0,4,0,0,0,0,0,1,0,0,5
Husain Altawash,10,3,1,0,0,0,0,1,0,1,16
Ahmed Aman,0,1,0,0,0,2,0,2,0,0,5
Ahmed Alderazi,0,0,2,0,0,0,0,0,0,0,2
Jianghua Chen,15,0,0,1,0,0,1,0,2,0,19
Ayman Al Muwallad,9,5,13,18,3,0,0,1,0,0,49
Jaber Kabe,13,3,6,16,0,0,1,3,2,0,44
Marzouq Al Muwallad,8,10,12,13,0,0,0,1,0,0,44
Mohammed Al Marwani,0,10,1,0,10,6,4,10,0,1,42
Moustafa Al Hwsawi,0,14,0,2,1,0,2,7,0,0,26
Matha Al Marwani,0,16,5,9,0,0,0,3,1,0,34
Ho-young Yoon,2,1,0,1,0,0,0,0,0,0,4
Fahad Belal,6,4,2,3,0,0,0,1,1,0,17
Nassir Abo Jalas,0,2,3,0,5,3,0,1,0,1,15
Mohammed Al Sager,2,1,2,3,0,0,0,1,0,0,9
Mohammed Abujabal,1,1,0,0,0,0,1,0,0,0,3
Ahmed Al Mukhtar,0,0,0,0,1,0,0,2,0,0,3
Ayman Al Muwalled,4,0,0,2,0,0,0,0,0,0,6
Jayson Castro,47,11,31,31,0,0,3,6,4,6,139
Chih Chieh Lin,10,7,4,3,0,0,0,2,0,1,27
Cheng Ju Lu,0,0,2,0,0,0,1,0,1,0,4
Wen Cheng Tsai,0,2,0,0,0,1,1,0,0,0,4
Pou Chen Chou,0,0,0,0,0,0,0,0,0,0,0
Tian Yuan Kuek,0,0,1,2,0,3,1,0,0,0,7
Wei Hong Choo,1,3,3,0,0,0,0,0,0,0,7
Ban Sin Ooi,3,3,1,1,1,0,0,0,0,0,9
Eng Heng Soo,3,1,0,0,0,0,0,0,0,0,4
Hoog Hoong Gan,4,1,4,0,0,0,0,1,0,3,13
Chin Yong Wong,0,2,1,0,0,0,0,0,0,0,3
Wee Seng Wong,1,5,0,0,0,0,0,0,0,0,6
Min Joe Foong,0,0,0,0,0,0,0,0,0,0,0
Lok Seng Mak,0,1,0,0,0,0,1,0,0,0,2
Sing Teng Ng,0,0,0,1,0,0,0,0,1,0,2
