,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Rade Zagorac,1,1,1,1,1,0,0,2,2,2,11
Perry Jones III,0,1,0,0,1,0,0,0,0,0,2
Durand Scott,0,1,1,0,0,0,0,0,0,0,2
TJ Williams,0,0,1,0,0,0,0,1,0,0,2
Terry Henderson,1,2,2,0,0,0,0,0,0,0,5
Brandon Bowman,0,1,2,2,1,3,0,0,0,0,9
Angel Rodriguez,28,2,0,1,0,0,0,0,0,2,33
Daniel Koperberg,0,1,1,0,0,2,1,3,0,0,8
Frederic Bourdillon,11,3,0,0,0,0,0,0,0,0,14
Roi Huber,0,0,0,0,0,0,0,0,0,0,0
Samardo Samuels,0,2,0,1,9,0,0,0,0,0,12
Jacob Evans,137,66,58,10,0,0,12,17,17,32,349
Anfernee Simons,305,148,97,85,0,0,22,25,37,42,761
James Ennis III,38,284,214,11,3,16,72,132,17,28,815
Jonah Bolden,6,99,51,3,7,30,23,60,6,4,289
Brad Wanamaker,367,133,128,30,2,1,11,16,18,16,722
Robert Williams III,0,4,19,0,5,36,48,53,0,1,166
Landry Shamet,189,294,182,21,0,15,33,27,201,152,1114
Shai Gilgeous-Alexander,1304,422,387,255,8,2,52,102,22,105,2659
Jerome Robinson,133,133,71,10,0,6,16,16,30,37,452
Jarred Vanderbilt,0,2,10,6,0,11,15,18,0,0,62
Lonnie Walker IV,105,94,105,21,1,0,15,14,5,16,376
Rodions Kurucs,33,282,162,47,5,20,93,88,46,23,799
Theo Pinson,201,71,58,53,0,1,8,15,13,13,433
Dzanan Musa,95,87,50,20,0,1,10,23,16,6,308
Melvin Frazier Jr.,20,25,21,2,1,0,4,11,11,4,99
Bruce Brown,433,249,187,48,3,1,102,103,5,20,1151
Khyri Thomas,32,35,12,5,0,0,5,4,6,8,107
Deonte Burton,25,102,51,6,1,11,21,15,11,18,261
Aaron Holiday,629,205,164,84,0,0,6,24,19,76,1207
Grayson Allen,180,161,125,19,1,3,13,9,41,58,610
Isaiah Hartenstein,0,12,17,4,1,52,47,64,0,0,197
Josh Okogie,124,432,301,33,1,5,86,111,26,83,1202
Cameron Reynolds,19,48,23,1,2,1,0,4,12,7,117
Keita Bates-Diop,32,165,101,15,3,7,55,41,4,30,453
Jared Terrell,43,12,5,4,0,0,1,0,3,9,77
Gary Trent Jr.,81,107,59,23,4,1,6,15,22,35,353
Marvin Bagley III,10,118,198,132,307,143,140,215,12,11,1286
BJ Johnson,6,16,14,3,0,0,2,5,1,4,51
Trae Young,3135,245,604,379,0,0,20,99,80,267,4829
Kevin Huerter,628,306,256,43,4,8,39,83,74,165,1606
Jaylen Adams,154,50,37,9,0,0,2,11,6,14,283
Alize Johnson,1,14,15,4,3,1,11,19,2,1,71
Isaac Humphries,0,9,2,0,0,7,2,4,1,0,25
Duncan Robinson,38,221,81,2,0,22,27,13,117,108,629
Yante Maten,2,13,7,2,0,5,9,11,0,2,51
Miles Bridges,123,534,229,63,103,69,88,150,32,53,1444
Devonte Graham,1291,204,200,135,0,8,14,53,87,79,2071
Amile Jefferson,0,8,10,2,4,7,17,21,1,1,71
Kevin Knox,387,489,277,71,21,23,44,84,130,142,1668
Mitchell Robinson,0,4,64,1,16,206,133,319,0,0,743
Billy Garrett,16,10,2,3,1,0,2,0,0,1,35
