,FIBA_P&R Ball Handler,FIBA_Spot-Up,FIBA_Transition,FIBA_ISO,FIBA_Post-Up,FIBA_P&R Roll Man,FIBA_Cut,FIBA_Offensive Rebound,FIBA_Off Screen,FIBA_Hand Off,FIBA_Cluster,INTL_P&R Ball Handler,INTL_Spot-Up,INTL_Transition,INTL_ISO,INTL_Post-Up,INTL_P&R Roll Man,INTL_Cut,INTL_Offensive Rebound,INTL_Off Screen,INTL_Hand Off,INTL_Cluster,NBA_P&R Ball Handler,NBA_Spot-Up,NBA_Transition,NBA_ISO,NBA_Post-Up,NBA_P&R Roll Man,NBA_Cut,NBA_Offensive Rebound,NBA_Off Screen,NBA_Hand Off,NBA_Cluster
2431,,,,,,,,,,,,1149,253,77,62,1,0,12,37,53,43,2,,,,,,,,,,,
1932,,,,,,,,,,,,355,403,305,93,1,3,69,66,296,95,6,,,,,,,,,,,
2028,,,,,,,,,,,,609,258,240,259,4,0,19,66,194,37,1,,,,,,,,,,,
1968,,,,,,,,,,,,1,4,47,7,858,188,264,313,2,0,5,,,,,,,,,,,
2068,,,,,,,,,,,,624,404,191,104,32,3,47,86,141,50,1,,,,,,,,,,,
1823,,,,,,,,,,,,10,601,194,47,288,131,115,186,97,10,0,,,,,,,,,,,
1886,,,,,,,,,,,,1,185,130,22,379,442,271,236,4,3,3,,,,,,,,,,,
1900,,,,,,,,,,,,142,590,227,28,17,8,129,105,398,29,4,,,,,,,,,,,
1818,,,,,,,,,,,,53,581,92,45,334,58,119,313,60,14,0,,,,,,,,,,,
2096,,,,,,,,,,,,911,259,148,75,105,1,41,91,15,23,2,,,,,,,,,,,
1883,,,,,,,,,,,,5,507,169,86,192,131,196,220,126,36,0,,,,,,,,,,,
1912,,,,,,,,,,,,0,15,55,8,1029,142,219,197,0,1,5,,,,,,,,,,,
2239,,,,,,,,,,,,1042,185,158,81,28,1,27,22,56,66,2,,,,,,,,,,,
1873,,,,,,,,,,,,2,53,120,29,438,315,395,312,1,0,3,,,,,,,,,,,
1834,,,,,,,,,,,,24,690,239,98,75,180,105,174,68,10,4,,,,,,,,,,,
1954,,,,,,,,,,,,159,422,130,63,311,96,167,212,89,12,0,,,,,,,,,,,
2012,,,,,,,,,,,,733,304,209,150,3,0,52,131,44,34,1,,,,,,,,,,,
2134,,,,,,,,,,,,930,262,210,106,0,0,12,41,44,55,2,,,,,,,,,,,
2067,,,,,,,,,,,,833,165,141,366,14,0,28,40,38,33,2,,,,,,,,,,,
2031,,,,,,,,,,,,577,397,277,108,3,2,13,97,113,67,1,,,,,,,,,,,
2130,,,,,,,,,,,,541,539,109,78,6,0,115,209,22,35,6,,,,,,,,,,,
2013,,,,,,,,,,,,237,532,360,118,71,0,73,210,25,26,6,,,,,,,,,,,
2192,,,,,,,,,,,,1104,252,83,70,2,1,9,32,43,54,2,,,,,,,,,,,
1936,,,,,,,,,,,,33,506,114,150,280,112,197,175,76,6,0,,,,,,,,,,,
1967,,,,,,,,,,,,353,475,196,123,10,1,40,99,301,50,6,,,,,,,,,,,
2219,,,,,,,,,,,,1016,163,202,161,0,0,15,29,32,30,2,,,,,,,,,,,
1935,,,,,,,,,,,,13,474,142,42,371,219,139,203,37,6,0,,,,,,,,,,,
2053,,,,,,,,,,,,912,193,186,168,0,1,26,18,87,52,2,,,,,,,,,,,
1853,,,,,,,,,,,,3,239,115,35,581,266,163,206,32,2,5,,,,,,,,,,,
2359,,,,,,,,,,,,1060,147,119,219,7,2,8,18,39,23,2,,,,,,,,,,,
2056,,,,,,,,,,,,581,343,206,93,12,0,69,63,164,109,1,,,,,,,,,,,
2061,,,,,,,,,,,,631,357,162,77,0,4,34,37,304,33,1,,,,,,,,,,,
2036,,,,,,,,,,,,816,349,159,58,2,1,21,30,123,79,1,,,,,,,,,,,
1962,,,,,,,,,,,,153,588,195,157,293,5,56,73,94,20,4,,,,,,,,,,,
2049,,,,,,,,,,,,665,295,193,172,70,1,40,95,62,37,1,,,,,,,,,,,
2165,,,,,,,,,,,,815,315,148,67,7,2,28,46,168,34,1,,,,,,,,,,,
1814,,,,,,,,,,,,18,428,308,84,318,131,86,134,111,8,0,,,,,,,,,,,
1999,,,,,,,,,,,,347,400,202,76,267,3,49,106,147,29,6,,,,,,,,,,,
1963,,,,,,,,,,,,650,162,309,267,3,1,37,32,101,63,1,,,,,,,,,,,
1778,,,,,,,,,,,,1,44,84,17,589,348,240,297,1,2,5,,,,,,,,,,,
1880,,,,,,,,,,,,1,244,96,18,417,271,263,282,25,5,5,,,,,,,,,,,
1906,,,,,,,,,,,,81,539,180,108,309,44,155,173,20,12,0,,,,,,,,,,,
1884,,,,,,,,,,,,2,248,162,35,451,221,222,260,14,2,5,,,,,,,,,,,
2022,,,,,,,,,,,,363,401,202,78,50,6,131,79,229,77,6,,,,,,,,,,,
2284,,,,,,,,,,,,879,266,142,108,5,0,17,28,99,70,2,,,,,,,,,,,
1952,,,,,,,,,,,,4,508,155,43,183,216,184,288,30,1,0,,,,,,,,,,,
2251,,,,,,,,,,,,906,161,196,167,2,2,23,29,70,49,2,,,,,,,,,,,
1868,,,,,,,,,,,,32,428,240,116,244,153,133,142,105,11,0,,,,,,,,,,,
2196,,,,,,,,,,,,572,435,220,30,1,1,67,111,133,32,1,,,,,,,,,,,
1903,,,,,,,,,,,,1,22,71,15,649,323,196,322,1,1,5,,,,,,,,,,,
1850,,,,,,,,,,,,113,448,318,107,153,8,177,226,34,15,0,,,,,,,,,,,
2069,,,,,,,,,,,,372,390,159,159,243,4,31,91,86,64,6,,,,,,,,,,,
2509,,,,,,,,,,,,1036,244,94,95,2,1,29,37,20,41,2,,,,,,,,,,,
2095,,,,,,,,,,,,827,218,213,129,2,0,33,26,36,114,2,,,,,,,,,,,
2331,,,,,,,,,,,,1110,146,111,78,51,0,22,44,8,28,2,,,,,,,,,,,
2124,,,,,,,,,,,,578,361,146,154,158,17,51,91,22,16,1,,,,,,,,,,,
1772,,,,,,,,,,,,2,60,100,17,385,277,373,374,5,0,3,,,,,,,,,,,
2479,,,,,,,,,,,,1045,132,78,183,62,0,7,38,19,28,2,,,,,,,,,,,
1801,,,,,,,,,,,,100,530,223,56,159,31,227,154,74,35,4,,,,,,,,,,,
1975,,,,,,,,,,,,553,338,210,123,64,2,82,90,85,42,1,,,,,,,,,,,
1861,,,,,,,,,,,,1,35,130,65,553,325,224,249,5,1,5,,,,,,,,,,,
2364,,,,,,,,,,,,1045,225,94,139,1,0,11,24,23,25,2,,,,,,,,,,,
1945,,,,,,,,,,,,7,493,132,37,416,144,103,150,95,7,0,,,,,,,,,,,
1908,,,,,,,,,,,,9,304,160,75,364,138,213,265,51,4,0,,,,,,,,,,,
2181,,,,,,,,,,,,553,218,215,187,1,0,18,39,274,77,1,,,,,,,,,,,
2140,,,,,,,,,,,,698,217,154,146,0,2,27,35,252,49,1,,,,,,,,,,,
1923,,,,,,,,,,,,11,240,197,79,314,193,286,229,27,3,0,,,,,,,,,,,
1971,,,,,,,,,,,,39,386,129,98,477,161,82,161,32,10,0,,,,,,,,,,,
2157,,,,,,,,,,,,1026,183,112,96,1,0,13,44,36,64,2,,,,,,,,,,,
2105,,,,,,,,,,,,632,306,183,211,39,2,48,83,40,30,1,,,,,,,,,,,
2146,,,,,,,,,,,,937,215,143,149,49,0,18,30,20,13,2,,,,,,,,,,,
2093,,,,,,,,,,,,628,340,220,142,6,1,53,42,84,56,1,,,,,,,,,,,
1969,,,,,,,,,,,,81,652,271,70,197,2,117,112,51,18,4,,,,,,,,,,,
2051,,,,,,,,,,,,545,252,195,198,82,8,32,76,79,100,1,,,,,,,,,,,
1930,,,,,,,,,,,,25,690,172,34,48,110,112,176,197,2,4,,,,,,,,,,,
2107,,,,,,,,,,,,758,289,190,121,2,1,31,38,90,46,1,,,,,,,,,,,
2259,,,,,,,,,,,,656,342,154,111,11,2,28,37,186,36,1,,,,,,,,,,,
1898,,,,,,,,,,,,35,428,105,75,334,124,136,146,149,30,0,,,,,,,,,,,
1992,,,,,,,,,,,,19,267,138,53,368,149,237,296,29,5,0,,,,,,,,,,,
2039,,,,,,,,,,,,317,404,225,83,49,4,136,173,128,37,6,,,,,,,,,,,
2258,,,,,,,,,,,,897,207,161,134,27,0,21,43,19,46,2,,,,,,,,,,,
2247,,,,,,,,,,,,800,423,99,49,0,0,13,113,33,24,1,,,,,,,,,,,
2057,,,,,,,,,,,,730,371,152,106,1,0,24,51,53,64,1,,,,,,,,,,,
2325,,,,,,,,,,,,864,139,162,163,6,1,46,54,66,50,2,,,,,,,,,,,
2131,,,,,,,,,,,,575,223,161,195,48,1,21,20,273,30,1,,,,,,,,,,,
1862,,,,,,,,,,,,1,30,55,2,333,376,310,433,4,0,3,,,,,,,,,,,
2193,,,,,,,,,,,,865,212,95,78,1,0,14,55,130,94,2,,,,,,,,,,,
2374,,,,,,,,,,,,1070,202,70,93,3,1,4,29,49,21,2,,,,,,,,,,,
1863,,,,,,,,,,,,18,333,156,104,477,58,147,209,33,5,0,,,,,,,,,,,
2101,,,,,,,,,,,,724,301,113,168,5,1,26,24,104,73,1,,,,,,,,,,,
1925,,,,,,,,,,,,24,471,207,22,322,13,192,245,35,5,0,,,,,,,,,,,
1970,,,,,,,,,,,,0,156,54,16,774,216,113,201,5,1,5,,,,,,,,,,,
1828,,,,,,,,,,,,8,26,99,19,379,389,297,313,5,0,3,,,,,,,,,,,
1897,,,,,,,,,,,,75,443,156,127,300,90,123,166,43,12,0,,,,,,,,,,,
1909,,,,,,,,,,,,30,385,180,91,212,107,142,226,154,6,0,,,,,,,,,,,
2025,,,,,,,,,,,,373,291,234,205,92,30,67,142,65,34,6,,,,,,,,,,,
2353,,,,,,,,,,,,899,247,99,131,1,0,8,41,62,44,2,,,,,,,,,,,
2253,,,,,,,,,,,,876,171,221,160,22,0,11,40,12,18,2,,,,,,,,,,,
2282,,,,,,,,,,,,846,148,153,164,2,0,8,23,145,40,2,,,,,,,,,,,
1918,,,,,,,,,,,,0,64,67,27,697,221,215,233,3,1,5,,,,,,,,,,,
2156,,,,,,,,,,,,859,198,213,103,23,0,22,38,28,42,2,,,,,,,,,,,
2040,,,,,,,,,,,,535,380,90,115,3,0,21,35,272,71,1,,,,,,,,,,,
1943,,,,,,,,,,,,17,336,136,21,297,118,216,346,27,6,0,,,,,,,,,,,
1991,,,,,,,,,,,,470,393,224,88,15,1,81,107,91,48,6,,,,,,,,,,,
2024,,,,,,,,,,,,8,301,79,27,506,255,139,163,28,11,5,,,,,,,,,,,
2506,,,,,,,,,,,,993,179,105,93,10,0,15,56,25,41,2,,,,,,,,,,,
2136,,,,,,,,,,,,493,326,132,156,75,2,97,130,68,36,1,,,,,,,,,,,
1893,,,,,,,,,,,,54,496,188,83,127,151,175,144,80,13,4,,,,,,,,,,,
2166,,,,,,,,,,,,601,367,188,138,14,5,26,52,94,26,1,,,,,,,,,,,
2388,,,,,,,,,,,,1003,142,103,165,5,0,10,49,10,24,2,,,,,,,,,,,
1865,,,,,,,,,,,,3,110,106,12,419,197,403,258,1,1,5,,,,,,,,,,,
2120,,,,,,,,,,,,714,319,169,124,23,0,36,38,55,32,1,,,,,,,,,,,
2226,,,,,,,,,,,,876,204,157,159,0,0,13,23,38,40,2,,,,,,,,,,,
1890,,,,,,,,,,,,3,442,148,39,247,279,164,179,7,1,0,,,,,,,,,,,
2106,,,,,,,,,,,,646,280,171,83,16,2,31,100,126,54,1,,,,,,,,,,,
2334,,,,,,,,,,,,708,270,148,167,47,1,21,58,52,37,1,,,,,,,,,,,
2023,,,,,,,,,,,,16,412,127,24,352,176,139,201,59,2,0,,,,,,,,,,,
1833,,,,,,,,,,,,0,24,48,16,496,253,240,427,2,0,5,,,,,,,,,,,
1965,,,,,,,,,,,,126,343,173,79,310,29,122,206,86,32,0,,,,,,,,,,,
1956,,,,,,,,,,,,4,85,71,16,450,298,305,269,4,1,5,,,,,,,,,,,
2002,,,,,,,,,,,,15,465,137,178,279,156,63,117,81,8,0,,,,,,,,,,,
2293,,,,,,,,,,,,780,224,168,120,64,2,31,49,16,45,2,,,,,,,,,,,
2161,,,,,,,,,,,,762,161,220,176,1,1,29,36,53,58,2,,,,,,,,,,,
2377,,,,,,,,,,,,989,155,61,207,11,0,8,17,20,29,2,,,,,,,,,,,
2625,,,,,,,,,,,,1050,168,70,53,2,0,6,34,62,52,2,,,,,,,,,,,
1984,,,,,,,,,,,,2,245,59,10,209,388,250,322,8,3,3,,,,,,,,,,,
1998,,,,,,,,,,,,4,312,150,51,418,267,109,150,30,5,0,,,,,,,,,,,
2384,,,,,,,,,,,,801,321,56,184,0,3,7,46,52,24,2,,,,,,,,,,,
2262,,,,,,,,,,,,644,248,229,91,22,0,69,67,77,46,1,,,,,,,,,,,
1949,,,,,,,,,,,,19,384,192,135,304,167,169,81,39,2,0,,,,,,,,,,,
2027,,,,,,,,,,,,469,325,277,122,18,1,57,60,116,47,6,,,,,,,,,,,
2369,,,,,,,,,,,,972,240,85,127,0,0,2,20,10,35,2,,,,,,,,,,,
2205,,,,,,,,,,,,742,171,168,108,89,2,38,98,44,28,2,,,,,,,,,,,
2153,,,,,,,,,,,,735,257,119,115,139,1,22,44,32,21,1,,,,,,,,,,,
2345,,,,,,,,,,,,953,141,95,181,14,0,6,25,32,37,2,,,,,,,,,,,
2399,,,,,,,,,,,,932,190,98,171,0,0,4,22,40,27,2,,,,,,,,,,,
1852,,,,,,,,,,,,2,147,86,18,432,307,244,228,14,2,5,,,,,,,,,,,
2263,,,,,,,,,,,,750,253,117,136,47,0,39,75,44,19,2,,,,,,,,,,,
2275,,,,,,,,,,,,742,204,234,131,4,1,19,48,62,34,1,,,,,,,,,,,
2236,,,,,,,,,,,,660,133,243,169,77,1,48,92,29,22,1,,,,,,,,,,,
1980,,,,,,,,,,,,87,495,193,51,119,22,157,175,140,31,4,,,,,,,,,,,
1981,,,,,,,,,,,,59,353,213,139,303,118,118,129,29,8,0,,,,,,,,,,,
2144,,,,,,,,,,,,488,332,150,128,78,6,54,144,45,43,1,,,,,,,,,,,
1807,,,,,,,,,,,,7,126,93,112,431,190,199,304,4,1,5,,,,,,,,,,,
1997,,,,,,,,,,,,8,252,145,94,303,217,239,180,22,7,0,,,,,,,,,,,
2011,,,,,,,,,,,,1,50,39,15,426,317,210,406,2,1,5,,,,,,,,,,,
2185,,,,,,,,,,,,875,150,199,114,0,0,9,35,37,47,2,,,,,,,,,,,
1921,,,,,,,,,,,,3,267,127,13,112,334,297,278,29,2,3,,,,,,,,,,,
2085,,,,,,,,,,,,719,202,187,167,35,0,24,77,24,27,1,,,,,,,,,,,
2128,,,,,,,,,,,,434,403,178,107,25,6,30,60,177,42,6,,,,,,,,,,,
2138,,,,,,,,,,,,654,149,179,266,2,2,53,66,51,40,1,,,,,,,,,,,
2115,,,,,,,,,,,,407,413,135,45,11,1,20,46,286,97,6,,,,,,,,,,,
2137,,,,,,,,,,,,171,347,222,69,3,3,68,101,343,133,6,,,,,,,,,,,
1916,,,,,,,,,,,,0,57,12,10,785,197,212,181,1,1,5,,,,,,,,,,,
2078,,,,,,,,,,,,364,486,220,112,7,5,86,120,36,19,6,,,,,,,,,,,
2003,,,,,,,,,,,,18,319,201,169,270,107,150,169,41,9,0,,,,,,,,,,,
1902,,,,,,,,,,,,13,292,204,96,324,127,123,209,63,1,0,,,,,,,,,,,
2010,,,,,,,,,,,,3,61,62,21,636,139,248,274,4,3,5,,,,,,,,,,,
1989,,,,,,,,,,,,12,481,77,39,411,132,93,181,21,2,0,,,,,,,,,,,
2034,,,,,,,,,,,,8,336,158,168,384,149,94,105,41,6,0,,,,,,,,,,,
2299,,,,,,,,,,,,815,170,140,147,0,1,23,41,77,35,2,,,,,,,,,,,
2436,,,,,,,,,,,,878,193,103,94,24,0,17,45,64,29,2,,,,,,,,,,,
1996,,,,,,,,,,,,1,62,58,11,374,336,254,346,3,1,3,,,,,,,,,,,
2087,,,,,,,,,,,,373,374,199,163,52,5,91,64,95,30,6,,,,,,,,,,,
2015,,,,,,,,,,,,239,587,270,33,16,3,76,126,73,21,4,,,,,,,,,,,
1941,,,,,,,,,,,,2,204,86,41,216,350,276,246,16,1,3,,,,,,,,,,,
2184,,,,,,,,,,,,605,339,134,96,114,0,22,79,20,29,1,,,,,,,,,,,
2319,,,,,,,,,,,,832,250,123,94,2,0,9,28,37,62,2,,,,,,,,,,,
2356,,,,,,,,,,,,825,222,122,92,25,2,17,41,49,41,2,,,,,,,,,,,
2030,,,,,,,,,,,,15,422,144,133,236,198,111,114,59,3,0,,,,,,,,,,,
2122,,,,,,,,,,,,134,536,177,48,77,74,150,91,115,31,4,,,,,,,,,,,
2218,,,,,,,,,,,,713,191,122,239,4,0,17,61,51,35,2,,,,,,,,,,,
2019,,,,,,,,,,,,508,332,262,124,20,4,38,49,68,27,1,,,,,,,,,,,
1944,,,,,,,,,,,,2,68,49,31,472,263,230,309,3,2,5,,,,,,,,,,,
2360,,,,,,,,,,,,778,315,118,83,0,1,18,66,19,31,2,,,,,,,,,,,
2098,,,,,,,,,,,,7,548,192,17,94,88,172,245,56,8,4,,,,,,,,,,,
2422,,,,,,,,,,,,783,267,151,72,0,1,23,27,63,40,2,,,,,,,,,,,
2043,,,,,,,,,,,,44,448,145,72,199,98,148,160,98,13,0,,,,,,,,,,,
2108,,,,,,,,,,,,399,479,171,53,4,4,102,142,52,18,6,,,,,,,,,,,
2380,,,,,,,,,,,,772,119,173,214,15,0,36,52,17,26,2,,,,,,,,,,,
2375,,,,,,,,,,,,755,271,115,62,11,0,41,89,33,42,2,,,,,,,,,,,
2059,,,,,,,,,,,,215,378,207,99,21,0,88,206,145,55,6,,,,,,,,,,,
1924,,,,,,,,,,,,1,20,50,6,437,315,259,322,3,0,5,,,,,,,,,,,
1988,,,,,,,,,,,,4,93,84,19,509,307,224,153,17,3,5,,,,,,,,,,,
2459,,,,,,,,,,,,910,118,98,168,2,0,22,40,18,36,2,,,,,,,,,,,
2042,,,,,,,,,,,,19,488,131,29,357,28,132,173,49,3,0,,,,,,,,,,,
1960,,,,,,,,,,,,2,62,92,35,220,382,244,363,3,0,3,,,,,,,,,,,
2280,,,,,,,,,,,,626,285,142,112,22,2,52,77,52,33,1,,,,,,,,,,,
1953,,,,,,,,,,,,1,333,89,37,484,158,123,150,25,2,0,,,,,,,,,,,
1977,,,,,,,,,,,,2,291,57,41,419,226,190,153,19,4,5,,,,,,,,,,,
2041,,,,,,,,,,,,0,180,57,9,554,283,157,148,10,4,5,,,,,,,,,,,
2063,,,,,,,,,,,,0,22,49,2,607,202,236,278,5,1,5,,,,,,,,,,,
2217,,,,,,,,,,,,693,266,145,122,6,0,7,21,75,67,1,,,,,,,,,,,
2064,,,,,,,,,,,,534,309,116,88,39,4,35,70,138,68,1,,,,,,,,,,,
1948,,,,,,,,,,,,0,3,46,4,545,231,289,281,0,1,5,,,,,,,,,,,
2081,,,,,,,,,,,,9,373,103,54,383,102,146,211,16,3,0,,,,,,,,,,,
1966,,,,,,,,,,,,8,68,131,19,342,353,199,273,5,0,3,,,,,,,,,,,
2286,,,,,,,,,,,,776,112,191,159,7,0,20,27,54,50,2,,,,,,,,,,,
2180,,,,,,,,,,,,368,458,209,65,8,1,93,121,39,30,6,,,,,,,,,,,
1895,,,,,,,,,,,,5,239,58,38,317,178,265,263,23,3,0,,,,,,,,,,,
2177,,,,,,,,,,,,470,166,194,163,111,3,69,137,55,21,1,,,,,,,,,,,
2198,,,,,,,,,,,,838,116,165,172,1,0,6,53,5,30,2,,,,,,,,,,,
2000,,,,,,,,,,,,99,434,181,67,162,8,127,232,59,16,4,,,,,,,,,,,
2178,,,,,,,,,,,,590,216,166,108,112,2,53,33,61,42,1,,,,,,,,,,,
1926,,,,,,,,,,,,2,286,69,22,164,301,278,251,5,1,3,,,,,,,,,,,
2135,,,,,,,,,,,,4,421,71,68,372,140,142,95,61,4,0,,,,,,,,,,,
2483,,,,,,,,,,,,862,250,94,78,0,0,11,39,11,30,2,,,,,,,,,,,
2350,,,,,,,,,,,,765,228,136,39,0,2,13,39,96,54,2,,,,,,,,,,,
2201,,,,,,,,,,,,543,291,177,180,8,1,28,91,34,18,1,,,,,,,,,,,
2109,,,,,,,,,,,,322,398,113,194,75,2,83,144,19,19,6,,,,,,,,,,,
2276,,,,,,,,,,,,535,256,131,78,1,3,5,23,247,89,1,,,,,,,,,,,
2402,,,,,,,,,,,,671,274,153,143,14,0,21,52,18,22,1,,,,,,,,,,,
2223,,,,,,,,,,,,322,466,146,31,24,4,43,75,234,21,6,,,,,,,,,,,
2245,,,,,,,,,,,,383,260,159,134,65,1,80,64,135,85,6,,,,,,,,,,,
1933,,,,,,,,,,,,0,74,48,10,378,303,192,358,2,0,5,,,,,,,,,,,
2188,,,,,,,,,,,,414,253,216,79,51,6,81,168,39,58,6,,,,,,,,,,,
2269,,,,,,,,,,,,515,425,168,45,2,1,53,96,35,25,1,,,,,,,,,,,
2055,,,,,,,,,,,,60,430,124,80,284,75,111,122,62,16,0,,,,,,,,,,,
2428,,,,,,,,,,,,916,139,127,85,0,0,9,33,17,36,2,,,,,,,,,,,
2583,,,,,,,,,,,,840,225,99,56,0,0,23,36,39,44,2,,,,,,,,,,,
2084,,,,,,,,,,,,19,520,148,31,123,124,133,212,44,6,4,,,,,,,,,,,
2172,,,,,,,,,,,,583,202,179,101,103,1,60,31,65,33,1,,,,,,,,,,,
2250,,,,,,,,,,,,652,306,134,74,0,0,33,60,59,40,1,,,,,,,,,,,
2310,,,,,,,,,,,,813,197,128,38,8,0,57,26,48,43,2,,,,,,,,,,,
2573,,,,,,,,,,,,866,206,83,83,1,0,27,27,23,41,2,,,,,,,,,,,
2518,,,,,,,,,,,,775,185,121,165,0,0,34,49,19,8,2,,,,,,,,,,,
2142,,,,,,,,,,,,139,361,175,91,210,5,118,154,62,35,0,,,,,,,,,,,
2162,,,,,,,,,,,,282,263,217,113,149,1,119,106,59,40,6,,,,,,,,,,,
2211,,,,,,,,,,,,461,306,183,137,39,1,34,47,130,10,1,,,,,,,,,,,
2046,,,,,,,,,,,,9,110,99,54,339,231,283,215,5,2,5,,,,,,,,,,,
2320,,,,,,,,,,,,674,116,187,183,33,0,36,28,52,32,2,,,,,,,,,,,
2272,,,,,,,,,,,,275,316,120,162,227,5,71,105,48,9,6,,,,,,,,,,,
2267,,,,,,,,,,,,619,254,214,57,1,1,20,50,59,62,1,,,,,,,,,,,
2208,,,,,,,,,,,,391,317,181,55,14,3,40,106,198,31,6,,,,,,,,,,,
2072,,,,,,,,,,,,2,94,37,7,444,269,195,277,6,3,5,,,,,,,,,,,
1950,,,,,,,,,,,,1,11,71,2,595,185,188,276,3,1,5,,,,,,,,,,,
2070,,,,,,,,,,,,5,456,114,30,96,213,172,197,44,4,0,,,,,,,,,,,
2082,,,,,,,,,,,,155,554,176,34,23,23,106,81,135,40,4,,,,,,,,,,,
2141,,,,,,,,,,,,13,622,138,9,91,112,92,147,79,23,4,,,,,,,,,,,
2086,,,,,,,,,,,,63,608,255,8,36,1,105,146,82,20,4,,,,,,,,,,,
2114,,,,,,,,,,,,31,360,160,332,199,73,29,89,42,8,0,,,,,,,,,,,
2268,,,,,,,,,,,,370,282,119,127,93,3,55,64,191,19,6,,,,,,,,,,,
1957,,,,,,,,,,,,4,43,87,6,188,412,267,311,3,1,3,,,,,,,,,,,
1987,,,,,,,,,,,,0,19,53,12,608,216,198,213,2,0,5,,,,,,,,,,,
2017,,,,,,,,,,,,0,68,44,1,368,307,265,261,1,3,5,,,,,,,,,,,
2139,,,,,,,,,,,,552,235,191,78,0,0,7,65,109,81,1,,,,,,,,,,,
2190,,,,,,,,,,,,5,448,77,22,269,199,79,148,56,15,0,,,,,,,,,,,
2265,,,,,,,,,,,,204,388,135,24,3,0,39,31,423,70,6,,,,,,,,,,,
2089,,,,,,,,,,,,146,546,274,66,47,7,50,112,52,14,4,,,,,,,,,,,
2220,,,,,,,,,,,,563,230,137,133,20,0,21,33,126,50,1,,,,,,,,,,,
1955,,,,,,,,,,,,0,106,114,35,171,304,239,338,2,1,3,,,,,,,,,,,
2381,,,,,,,,,,,,521,204,173,120,81,0,76,103,12,20,1,,,,,,,,,,,
2174,,,,,,,,,,,,61,468,233,46,189,8,118,137,33,16,4,,,,,,,,,,,
1994,,,,,,,,,,,,11,62,110,30,211,266,312,304,1,1,3,,,,,,,,,,,
2076,,,,,,,,,,,,44,572,134,47,60,40,143,147,111,5,4,,,,,,,,,,,
2249,,,,,,,,,,,,311,355,202,44,8,0,126,224,7,26,6,,,,,,,,,,,
2149,,,,,,,,,,,,60,442,188,125,117,54,93,162,42,12,4,,,,,,,,,,,
2168,,,,,,,,,,,,267,306,250,114,45,8,76,90,96,43,6,,,,,,,,,,,
2329,,,,,,,,,,,,407,208,261,82,89,1,80,88,31,47,1,,,,,,,,,,,
2094,,,,,,,,,,,,5,48,116,5,367,133,299,315,3,2,5,,,,,,,,,,,
2029,,,,,,,,,,,,8,227,67,64,361,191,186,176,6,6,5,,,,,,,,,,,
2099,,,,,,,,,,,,54,309,282,145,127,24,111,146,71,20,0,,,,,,,,,,,
2342,,,,,,,,,,,,383,315,174,27,0,1,62,109,170,45,6,,,,,,,,,,,
2191,,,,,,,,,,,,305,362,155,74,3,3,109,55,162,55,6,,,,,,,,,,,
2195,,,,,,,,,,,,1,151,71,19,477,90,196,268,5,3,5,,,,,,,,,,,
2756,,,,,,,,,,,,865,156,98,50,9,1,22,23,26,31,2,,,,,,,,,,,
2008,,,,,,,,,,,,3,261,113,33,253,169,211,205,30,2,0,,,,,,,,,,,
2143,,,,,,,,,,,,211,310,190,62,86,2,125,170,89,35,6,,,,,,,,,,,
2073,,,,,,,,,,,,3,286,84,18,311,238,153,154,32,0,0,,,,,,,,,,,
2103,,,,,,,,,,,,4,407,42,113,314,107,62,165,60,5,0,,,,,,,,,,,
2116,,,,,,,,,,,,19,235,139,50,297,89,191,228,21,10,0,,,,,,,,,,,
2288,,,,,,,,,,,,595,144,209,128,22,1,49,63,24,41,1,,,,,,,,,,,
2452,,,,,,,,,,,,709,236,84,85,48,0,26,57,14,16,2,,,,,,,,,,,
2111,,,,,,,,,,,,295,303,282,90,5,0,100,78,77,44,6,,,,,,,,,,,
2091,,,,,,,,,,,,19,257,121,162,239,134,143,137,59,2,0,,,,,,,,,,,
2594,,,,,,,,,,,,725,208,100,135,3,0,4,26,39,33,2,,,,,,,,,,,
2271,,,,,,,,,,,,454,305,126,146,5,0,31,108,63,32,1,,,,,,,,,,,
2083,,,,,,,,,,,,0,58,47,11,438,138,230,343,0,1,5,,,,,,,,,,,
2330,,,,,,,,,,,,565,208,153,147,7,3,24,34,91,33,1,,,,,,,,,,,
2427,,,,,,,,,,,,502,220,145,154,73,14,46,47,49,15,1,,,,,,,,,,,
2235,,,,,,,,,,,,446,225,164,132,39,1,58,73,85,41,1,,,,,,,,,,,
2090,,,,,,,,,,,,3,165,93,62,375,186,213,140,19,6,5,,,,,,,,,,,
2132,,,,,,,,,,,,45,468,121,45,123,109,144,163,38,6,4,,,,,,,,,,,
2183,,,,,,,,,,,,63,456,158,71,80,64,100,100,142,26,4,,,,,,,,,,,
2175,,,,,,,,,,,,160,589,120,26,9,4,73,84,146,45,4,,,,,,,,,,,
2102,,,,,,,,,,,,12,289,137,158,296,78,133,136,7,8,0,,,,,,,,,,,
2077,,,,,,,,,,,,1,58,72,8,221,312,279,297,3,2,3,,,,,,,,,,,
2187,,,,,,,,,,,,44,519,153,5,60,10,172,203,76,10,4,,,,,,,,,,,
2373,,,,,,,,,,,,551,200,168,205,0,0,10,30,52,35,1,,,,,,,,,,,
2406,,,,,,,,,,,,669,176,111,116,10,4,24,45,53,41,2,,,,,,,,,,,
