,FIBA_P&R Ball Handler,FIBA_Spot-Up,FIBA_Transition,FIBA_ISO,FIBA_Post-Up,FIBA_P&R Roll Man,FIBA_Cut,FIBA_Offensive Rebound,FIBA_Off Screen,FIBA_Hand Off,FIBA_Cluster,INTL_P&R Ball Handler,INTL_Spot-Up,INTL_Transition,INTL_ISO,INTL_Post-Up,INTL_P&R Roll Man,INTL_Cut,INTL_Offensive Rebound,INTL_Off Screen,INTL_Hand Off,INTL_Cluster,NBA_P&R Ball Handler,NBA_Spot-Up,NBA_Transition,NBA_ISO,NBA_Post-Up,NBA_P&R Roll Man,NBA_Cut,NBA_Offensive Rebound,NBA_Off Screen,NBA_Hand Off,NBA_Cluster
5809,157,73,54,30,4,0,18,10,45,30,1,,,,,,,,,,,,,,,,,,,,,,
6692,1,186,41,27,52,42,23,35,11,1,4,,,,,,,,,,,,,,,,,,,,,,
5916,131,88,60,49,2,10,10,27,27,8,1,,,,,,,,,,,,,,,,,,,,,,
6074,64,109,61,38,39,1,20,33,35,12,6,,,,,,,,,,,,,,,,,,,,,,
5939,106,72,82,38,2,0,22,22,46,18,6,,,,,,,,,,,,,,,,,,,,,,
5996,3,83,49,49,89,35,33,54,11,1,0,,,,,,,,,,,,,,,,,,,,,,
5788,109,103,54,33,0,1,20,37,36,12,6,,,,,,,,,,,,,,,,,,,,,,
6101,196,88,36,20,0,0,3,10,31,15,1,,,,,,,,,,,,,,,,,,,,,,
5853,86,127,44,18,18,1,15,13,59,17,6,,,,,,,,,,,,,,,,,,,,,,
6452,227,32,52,34,3,0,9,11,12,18,2,,,,,,,,,,,,,,,,,,,,,,
5943,29,121,41,22,59,6,36,56,22,5,0,,,,,,,,,,,,,,,,,,,,,,
6096,215,62,59,19,1,0,10,15,8,8,2,,,,,,,,,,,,,,,,,,,,,,
6015,155,88,47,18,1,0,29,33,9,16,1,,,,,,,,,,,,,,,,,,,,,,
5833,120,102,43,38,26,1,6,21,28,7,6,,,,,,,,,,,,,,,,,,,,,,
6095,2,39,49,17,95,49,56,79,3,1,5,,,,,,,,,,,,,,,,,,,,,,
7274,85,117,50,12,0,0,24,28,56,15,6,,,,,,,,,,,,,,,,,,,,,,
5918,222,50,55,15,1,0,8,17,2,12,2,,,,,,,,,,,,,,,,,,,,,,
7165,219,61,22,33,0,0,1,12,13,21,2,,,,,,,,,,,,,,,,,,,,,,
6037,16,46,66,26,22,72,77,49,6,1,3,,,,,,,,,,,,,,,,,,,,,,
6429,0,13,16,15,162,45,65,63,1,0,5,,,,,,,,,,,,,,,,,,,,,,
